ProductKey,ProductAlternateKey,ProductSubcategoryKey,ProductSubcategoryName,ProductCategoryKey,ProductCategoryName,Unit price,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status
514,RB-9231,6,Brakes,2,Components,,G  ,,Rear Brakes,47.286,TRUE,Silver,500,375,106.5,,NA,317,1,,63.9,,,Rear Brakes,,41456,,Current
470,GL-F110-L,20,Gloves,3,Clothing,,,,"Full-Finger Gloves, L",15.6709,TRUE,Black,4,3,37.99,L,L,,0,M ,22.794,,U ,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",41091,39809,
469,GL-F110-M,20,Gloves,3,Clothing,,,,"Full-Finger Gloves, M",15.6709,TRUE,Black,4,3,37.99,M,M,,0,M ,22.794,,U ,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",41091,39809,
468,GL-F110-S,20,Gloves,3,Clothing,,,,"Full-Finger Gloves, S",15.6709,TRUE,Black,4,3,37.99,S,S,,0,M ,22.794,,U ,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",41091,39809,
579,BK-T44U-54,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 54",755.1508,TRUE,Blue,100,75,1214.85,54,54-58 CM,28,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",41456,,Current
578,BK-T44U-50,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 50",755.1508,TRUE,Blue,100,75,1214.85,50,48-52 CM,27,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",41456,,Current
577,BK-T44U-46,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 46",755.1508,TRUE,Blue,100,75,1214.85,46,42-46 CM,27,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",41456,,Current
560,BK-T44U-60,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 60",755.1508,TRUE,Blue,100,75,1214.85,60,60-62 CM,28,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",41456,,Current
314,BK-R93R-56,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 56",2171.2942,TRUE,Red,100,75,3578.27,56,54-58 CM,15,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",40725,39444,
313,BK-R93R-52,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 52",2171.2942,TRUE,Red,100,75,3578.27,52,48-52 CM,14,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",40725,39444,
310,BK-R93R-62,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 62",2171.2942,TRUE,Red,100,75,3578.27,62,60-62 CM,15,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",40725,39444,
311,BK-R93R-44,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 44",2171.2942,TRUE,Red,100,75,3578.27,44,42-46 CM,14,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",40725,39444,
312,BK-R93R-48,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 48",2171.2942,TRUE,Red,100,75,3578.27,48,48-52 CM,14,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",40725,39444,
481,SO-R809-M,23,Socks,3,Clothing,8.99,,,"Racing Socks, M",3.3623,TRUE,White,4,3,8.99,M,M,,0,R ,5.394,,U ,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",41456,,Current
482,SO-R809-L,23,Socks,3,Clothing,8.99,,,"Racing Socks, L",3.3623,TRUE,White,4,3,8.99,L,L,,0,R ,5.394,,U ,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",41456,,Current
