ProductKey,ProductAlternateKey,ProductSubcategoryKey,ProductSubcategoryName,ProductCategoryKey,ProductCategoryName,Unit price,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
514,RB-9231,6,Brakes,2,Components, ,G  ,,Rear Brakes,Frenos traseros,Freins arrière,47.286,TRUE,Silver,500,375,106.5,,NA,317,1,,63.9,,,Rear Brakes,,,,,,,,,,41456,,Current
470,GL-F110-L,20,Gloves,3,Clothing, ,,,"Full-Finger Gloves, L","Guantes completos, G","Gants longs, taille L",15.6709,TRUE,Black,4,3,37.99,L,L,,0,M ,22.794,,U ,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.","Paume synthétique, poignets souples, ouverture maillée anti-transpiration. Adopté par les professionnels de l'équipe AWC.",????????????????????????AWC???????,???? ?? ???? ?? ??????? ?????? ????? ????? ?????? ????? ???? ????? ??????. ?????? ????? ?????? ???? AWC.,"???? ?? ?? ????? ??????, ?????? ??????, ??? ????? ???? ??????. ???? ??-??? ????? ????? AWC.",???????????????????? ??????????????? ?????????????????????????????  ??????????????????????????????? AWC,"""Ballenschutz Synthetik, flexible Fingerpartie, atmungsaktives Netz am Handrücken. Wird von den Fahrern des AWC-Teams getragen.""",??????? ?????????????????????????????????????AWC ?????????????????,"""Sentetik avuç içi, esnek parmaklar, üst taraf? hava alan a?dan imal edilmi?tir. AWC tak?m? sürücüleri taraf?ndan tak?lmaktad?r.""",41091,39809,
469,GL-F110-M,20,Gloves,3,Clothing, ,,,"Full-Finger Gloves, M","Guantes completos, M","Gants longs, taille M",15.6709,TRUE,Black,4,3,37.99,M,M,,0,M ,22.794,,U ,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.","Paume synthétique, poignets souples, ouverture maillée anti-transpiration. Adopté par les professionnels de l'équipe AWC.",????????????????????????AWC???????,???? ?? ???? ?? ??????? ?????? ????? ????? ?????? ????? ???? ????? ??????. ?????? ????? ?????? ???? AWC.,"???? ?? ?? ????? ??????, ?????? ??????, ??? ????? ???? ??????. ???? ??-??? ????? ????? AWC.",???????????????????? ??????????????? ?????????????????????????????  ??????????????????????????????? AWC,"""Ballenschutz Synthetik, flexible Fingerpartie, atmungsaktives Netz am Handrücken. Wird von den Fahrern des AWC-Teams getragen.""",??????? ?????????????????????????????????????AWC ?????????????????,"""Sentetik avuç içi, esnek parmaklar, üst taraf? hava alan a?dan imal edilmi?tir. AWC tak?m? sürücüleri taraf?ndan tak?lmaktad?r.""",41091,39809,
468,GL-F110-S,20,Gloves,3,Clothing, ,,,"Full-Finger Gloves, S","Guantes completos, P","Gants longs, taille S",15.6709,TRUE,Black,4,3,37.99,S,S,,0,M ,22.794,,U ,Full-Finger Gloves,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.","Paume synthétique, poignets souples, ouverture maillée anti-transpiration. Adopté par les professionnels de l'équipe AWC.",????????????????????????AWC???????,???? ?? ???? ?? ??????? ?????? ????? ????? ?????? ????? ???? ????? ??????. ?????? ????? ?????? ???? AWC.,"???? ?? ?? ????? ??????, ?????? ??????, ??? ????? ???? ??????. ???? ??-??? ????? ????? AWC.",???????????????????? ??????????????? ?????????????????????????????  ??????????????????????????????? AWC,"""Ballenschutz Synthetik, flexible Fingerpartie, atmungsaktives Netz am Handrücken. Wird von den Fahrern des AWC-Teams getragen.""",??????? ?????????????????????????????????????AWC ?????????????????,"""Sentetik avuç içi, esnek parmaklar, üst taraf? hava alan a?dan imal edilmi?tir. AWC tak?m? sürücüleri taraf?ndan tak?lmaktad?r.""",41091,39809,
579,BK-T44U-54,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 54","Paseo: 2000, azul, 54","Vélo de randonnée 2000 bleu, 54",755.1508,TRUE,Blue,100,75,1214.85,54,54-58 CM,28,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",La selle rembourrée offre un confort optimal. Le porte-bagages nouvellement remanié offre diverses possibilités d'ajout de paniers ou de sacoches. Ce vélo reste parfaitement stable une fois chargé.,????????????????????????????????????????????????????????????,?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????.,????? ?????? ??????? ????? ????? ????? ????? ???? ???? ????? ???? ?? ?????? ???? ???? ????? ??????? ????? ????? ????. ??????? ??? ?????? ?? ?????? ?? ????? ???.,?????????????????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????????????? ???????????????,"""Der Polstersattel bietet Fahrkomfort für den ganzen Tag, und der Gepäckträger mit neuem Design bietet viel Platz für Fahrradtaschen und Körbe. Dieses Fahrrad behält seine Stabilität auch im voll beladenen Zustand.""",????? ???? ???? 1 ???????????????????????????????? ?????????????????????????????????????????,"""Özel yap?m konforlu sele ile tüm gün bisiklet sürebilirsiniz, ayr?ca k?sa süre önce yeniden tasarlanan ta??y?c?da sepet ve bisiklet çantas? eklenebilecek bol yer vard?r.  Bu bisiklet tam olarak yüklendi?inde dengelidir.""",41456,,Current
578,BK-T44U-50,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 50","Paseo: 2000, azul, 50","Vélo de randonnée 2000 bleu, 50",755.1508,TRUE,Blue,100,75,1214.85,50,48-52 CM,27,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",La selle rembourrée offre un confort optimal. Le porte-bagages nouvellement remanié offre diverses possibilités d'ajout de paniers ou de sacoches. Ce vélo reste parfaitement stable une fois chargé.,????????????????????????????????????????????????????????????,?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????.,????? ?????? ??????? ????? ????? ????? ????? ???? ???? ????? ???? ?? ?????? ???? ???? ????? ??????? ????? ????? ????. ??????? ??? ?????? ?? ?????? ?? ????? ???.,?????????????????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????????????? ???????????????,"""Der Polstersattel bietet Fahrkomfort für den ganzen Tag, und der Gepäckträger mit neuem Design bietet viel Platz für Fahrradtaschen und Körbe. Dieses Fahrrad behält seine Stabilität auch im voll beladenen Zustand.""",????? ???? ???? 1 ???????????????????????????????? ?????????????????????????????????????????,"""Özel yap?m konforlu sele ile tüm gün bisiklet sürebilirsiniz, ayr?ca k?sa süre önce yeniden tasarlanan ta??y?c?da sepet ve bisiklet çantas? eklenebilecek bol yer vard?r.  Bu bisiklet tam olarak yüklendi?inde dengelidir.""",41456,,Current
577,BK-T44U-46,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 46","Paseo: 2000, azul, 46","Vélo de randonnée 2000 bleu, 46",755.1508,TRUE,Blue,100,75,1214.85,46,42-46 CM,27,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",La selle rembourrée offre un confort optimal. Le porte-bagages nouvellement remanié offre diverses possibilités d'ajout de paniers ou de sacoches. Ce vélo reste parfaitement stable une fois chargé.,????????????????????????????????????????????????????????????,?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????.,????? ?????? ??????? ????? ????? ????? ????? ???? ???? ????? ???? ?? ?????? ???? ???? ????? ??????? ????? ????? ????. ??????? ??? ?????? ?? ?????? ?? ????? ???.,?????????????????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????????????? ???????????????,"""Der Polstersattel bietet Fahrkomfort für den ganzen Tag, und der Gepäckträger mit neuem Design bietet viel Platz für Fahrradtaschen und Körbe. Dieses Fahrrad behält seine Stabilität auch im voll beladenen Zustand.""",????? ???? ???? 1 ???????????????????????????????? ?????????????????????????????????????????,"""Özel yap?m konforlu sele ile tüm gün bisiklet sürebilirsiniz, ayr?ca k?sa süre önce yeniden tasarlanan ta??y?c?da sepet ve bisiklet çantas? eklenebilecek bol yer vard?r.  Bu bisiklet tam olarak yüklendi?inde dengelidir.""",41456,,Current
560,BK-T44U-60,3,Touring Bikes,1,Bikes,1214.85,LB ,CM ,"Touring-2000 Blue, 60","Paseo: 2000, azul, 60","Vélo de randonnée 2000 bleu, 60",755.1508,TRUE,Blue,100,75,1214.85,60,60-62 CM,28,4,T ,728.91,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",La selle rembourrée offre un confort optimal. Le porte-bagages nouvellement remanié offre diverses possibilités d'ajout de paniers ou de sacoches. Ce vélo reste parfaitement stable une fois chargé.,????????????????????????????????????????????????????????????,?? ???? ??????? ?????? ??????? ?? ???? ????? ????? ?? ??? ????? ?? ??????? ???? ?????? ??? ???? ?? ???? ??????? ??????? ??????? ????? ????? ?????? ???? ?? ??? ????? ??? ???????. ?????? ??? ??????? ???????? ??? ??? ??????? ???????.,????? ?????? ??????? ????? ????? ????? ????? ???? ???? ????? ???? ?? ?????? ???? ???? ????? ??????? ????? ????? ????. ??????? ??? ?????? ?? ?????? ?? ????? ???.,?????????????????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????????????? ???????????????,"""Der Polstersattel bietet Fahrkomfort für den ganzen Tag, und der Gepäckträger mit neuem Design bietet viel Platz für Fahrradtaschen und Körbe. Dieses Fahrrad behält seine Stabilität auch im voll beladenen Zustand.""",????? ???? ???? 1 ???????????????????????????????? ?????????????????????????????????????????,"""Özel yap?m konforlu sele ile tüm gün bisiklet sürebilirsiniz, ayr?ca k?sa süre önce yeniden tasarlanan ta??y?c?da sepet ve bisiklet çantas? eklenebilecek bol yer vard?r.  Bu bisiklet tam olarak yüklendi?inde dengelidir.""",41456,,Current
314,BK-R93R-56,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 56","Carretera: 150, roja, 56","Vélo de route 150 rouge, 56",2171.2942,TRUE,Red,100,75,3578.27,56,54-58 CM,15,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","Ce vélo est destiné aux champions cyclistes. Mis au point par une équipe cycliste professionnelle, ce vélo possède un cadre en aluminium traité à chaud extrêmement léger et un guidon qui permet une conduite très précise.",??????????????????? Adventure Works Cycles ????????????????????????????????????????,???? ??????? ???? ?????? ???????? ??????? ????????. ?????? ???? ?? ??????? ?? ???? ???? ???? ????????? Adventure Works Cycles? ??? ?? ????? ?????? ?? ?????????? ?????? ???????? ???????? ??? ??????? ????? ????? ???? ??????? ?????? ?? ???????.,"??????? ??? ?????? ?? ????? ????????. ????????, ?????? ??? ?? ???? ??????? ?? Adventure Works Cycles (????? ?????), ?? ????? ????????? ??? ????? ??????? ???? ?????? ?????? ????? ??????.",????????????????????????????????????  ???????????????????????? Adventure Works Cycles ????????????????????????????????????????????? ?????????????????????,"""Dieses Fahrrad wird von Rennprofis gefahren. Es wurde gemeinsam mit dem Profirennteam von Adventure Works Cycles entwickelt und hat einen extrem leichten, hitzebehandelten Aluminiumrahmen und eine hochpräzise Steuerung.""",??? ??????????????Adventure Works Cycles ????????? ????? ???????????????????????????????? ?????????????????????????????,"""Bu bisiklet yar??ç?lar taraf?ndan kullan?lmaktad?r. Adventure Works Cycles profesyonel yar?? tak?m?yla birlikte geli?tirilen bu bisiklet, son derece hafif, tavlanm?? alüminyum kadroya ve hassas kontrol sa?layan bir gidona sahiptir.""",40725,39444,
313,BK-R93R-52,2,Road Bikes,1,Bikes,3578.27,LB ,CM ,"Road-150 Red, 52","Carretera: 150, roja, 52","Vélo de route 150 rouge, 52",2171.2942,TRUE,Red,100,75,3578.27,52,48-52 CM,14,4,R ,2146.962,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","Ce vélo est destiné aux champions cyclistes. Mis au point par une équipe cycliste professionnelle, ce vélo possède un cadre en aluminium traité à chaud extrêmement léger et un guidon qui permet une conduite très précise.",??????????????????? Adventure Works Cycles ????????????????????????????????????????,???? ??????? ???? ?????? ???????? ??????? ????????. ?????? ???? ?? ??????? ?? ???? ???? ???? ????????? Adventure Works Cycles? ??? ?? ????? ?????? ?? ?????????? ?????? ???????? ???????? ??? ??????? ????? ????? ???? ??????? ?????? ?? ???????.,"??????? ??? ?????? ?? ????? ????????. ????????, ?????? ??? ?? ???? ??????? ?? Adventure Works Cycles (????? ?????), ?? ????? ????????? ??? ????? ??????? ???? ?????? ?????? ????? ??????.",????????????????????????????????????  ???????????????????????? Adventure Works Cycles ????????????????????????????????????????????? ?????????????????????,"""Dieses Fahrrad wird von Rennprofis gefahren. Es wurde gemeinsam mit dem Profirennteam von Adventure Works Cycles entwickelt und hat einen extrem leichten, hitzebehandelten Aluminiumrahmen und eine hochpräzise Steuerung.""",??? ??????????????Adventure Works Cycles ????????? ????? ???????????????????????????????? ?????????????????????????????,"""Bu bisiklet yar??ç?lar taraf?ndan kullan?lmaktad?r. Adventure Works Cycles profesyonel yar?? tak?m?yla birlikte geli?tirilen bu bisiklet, son derece hafif, tavlanm?? alüminyum kadroya ve hassas kontrol sa?layan bir gidona sahiptir.""",40725,39444,
